,SERRINHA,FAZENDAVISTAALEGRE,CARACARAI,OBIDOS_PORTO,ALTAMIRA,PORTOVELHO,MANACAPURU,ITAPEUA,NAZARATH,TABATINGA
1988-07-16 00:00:00,543110660.0,4769672000.0,361463840.0,13856309000.0,,4763179000.0,7609941500.0,7889268700.0,9105662000.0,9105662000.0
1988-08-16 00:00:00,352580640.0,2596502300.0,489936300.0,9392101000.0,,2948934700.0,6145816000.0,6166247400.0,4573874700.0,4573874700.0
1988-09-15 12:00:00,195213440.0,1370826000.0,342582880.0,5716693000.0,,1943719800.0,3512831500.0,3491928000.0,2659519000.0,2659519000.0
1988-10-16 00:00:00,299558200.0,3675208400.0,121350460.0,6905436000.0,,5967711700.0,4002541000.0,4416212500.0,6167171000.0,6167171000.0
1988-11-15 12:00:00,133269340.0,4967806500.0,77379930.0,9717900000.0,,7609965600.0,6438840000.0,6850616300.0,12928418000.0,12928418000.0
1988-12-16 00:00:00,264867400.0,8212771300.0,86435736.0,18940533000.0,,18863440000.0,12701301000.0,13299466000.0,19025793000.0,19025793000.0
1989-01-16 00:00:00,171258780.0,33253476000.0,96022600.0,57090662000.0,,34224488000.0,34528950000.0,37330340000.0,52823245000.0,52823245000.0
1989-02-14 12:00:00,116350180.0,28493263000.0,39231224.0,56116930000.0,,29683940000.0,28886606000.0,29993114000.0,39859830000.0,39859830000.0
1989-03-16 00:00:00,213114160.0,42178515000.0,51827384.0,89870710000.0,,42725360000.0,53581270000.0,56453337000.0,71054460000.0,71054460000.0
1989-04-15 12:00:00,184307280.0,25352870000.0,110964510.0,74368350000.0,,27435454000.0,51944796000.0,52120244000.0,61895450000.0,61895450000.0
1989-05-16 00:00:00,169383150.0,22346620000.0,57290064.0,56747940000.0,,23098112000.0,34688400000.0,34851967000.0,33356210000.0,33356210000.0
1989-06-15 12:00:00,307127840.0,22853149000.0,155001710.0,45630290000.0,,25419452000.0,24033309000.0,24267250000.0,26418547000.0,26418547000.0
1989-07-16 00:00:00,574593660.0,8675840000.0,299192500.0,29276955000.0,,9391520000.0,19510129000.0,19683332000.0,19659720000.0,19659720000.0
1989-08-16 00:00:00,496868380.0,3954265000.0,199179340.0,14637814000.0,,4212717000.0,9946275000.0,9978771000.0,7749534700.0,7749534700.0
1989-09-15 12:00:00,338579260.0,2868502800.0,105374140.0,8412387000.0,,3710293000.0,5353003000.0,5496018000.0,4957324000.0,4957324000.0
1989-10-16 00:00:00,195651330.0,6567558700.0,82477180.0,11269258000.0,,10738333000.0,6376043500.0,6837838300.0,15311955000.0,15311955000.0
1989-11-15 12:00:00,275786660.0,5196028000.0,132112690.0,30083630000.0,,5274988500.0,28952363000.0,30972860000.0,36523926000.0,36523926000.0
1989-12-16 00:00:00,231119730.0,3800261600.0,118600010.0,15273188000.0,,6917932000.0,11179175000.0,10871382000.0,10433616000.0,10433616000.0
1990-01-16 00:00:00,132481130.0,29156424000.0,41270290.0,37701976000.0,,32979479000.0,14415912000.0,16486258000.0,34785714000.0,34785714000.0
1990-02-14 12:00:00,244414000.0,23322590000.0,20340422.0,50414068000.0,,26165844000.0,32863597000.0,34125654000.0,42914010000.0,42914010000.0
1990-03-16 00:00:00,90325790.0,35032805000.0,27123544.0,62144524000.0,,35021066000.0,29595939000.0,30892866000.0,37513826000.0,37513826000.0
1990-04-15 12:00:00,104354020.0,23215813000.0,32325214.0,48186760000.0,,24405725000.0,25533299000.0,25188014000.0,30311262000.0,30311262000.0
1990-05-16 00:00:00,319753630.0,11984164000.0,186734190.0,35214635000.0,,12860721000.0,23853660000.0,24430225000.0,23799085000.0,23799085000.0
1990-06-15 12:00:00,504110700.0,29615335000.0,223956240.0,44489196000.0,,41910110000.0,16648980000.0,18988130000.0,27407827000.0,27407827000.0
1990-07-16 00:00:00,411065100.0,29447737000.0,307838500.0,59948820000.0,,27252830000.0,33018528000.0,31876444000.0,32345752000.0,32345752000.0
1990-08-16 00:00:00,274489250.0,7455197700.0,260137060.0,19066500000.0,,7448282600.0,10784852000.0,10759036000.0,6926684000.0,6926684000.0
1990-09-15 12:00:00,330179520.0,4095003000.0,144540100.0,9534250000.0,,4367839000.0,5658622000.0,5962657000.0,6895470600.0,6895470600.0
1990-10-16 00:00:00,118374260.0,2738740200.0,59664110.0,7599099400.0,,5972767000.0,5803187000.0,6274190300.0,13915048000.0,13915048000.0
1990-11-15 12:00:00,138266670.0,12718000000.0,46138972.0,30392275000.0,,15628193000.0,23492897000.0,25889882000.0,37351916000.0,37351916000.0
1990-12-16 00:00:00,295766270.0,15968487000.0,24446954.0,53243820000.0,,24838607000.0,43852060000.0,45510450000.0,62055756000.0,62055756000.0
1991-01-16 00:00:00,302426720.0,35368200000.0,30824306.0,74707630000.0,,31674653000.0,44848816000.0,46227804000.0,54486557000.0,54486557000.0
1991-02-14 12:00:00,118641660.0,23626360000.0,15884437.0,41416626000.0,,29990080000.0,21687663000.0,22193934000.0,27124175000.0,27124175000.0
1991-03-16 00:00:00,56587012.0,28997607000.0,12006959.0,53451665000.0,,27737000000.0,27450770000.0,30160564000.0,45687276000.0,45687276000.0
1991-04-15 12:00:00,107267820.0,23442803000.0,11515333.0,58779030000.0,,22185964000.0,37313806000.0,38075175000.0,46414660000.0,46414660000.0
1991-05-16 00:00:00,216995860.0,9987622000.0,19578204.0,43512484000.0,,9073323000.0,32504693000.0,32345504000.0,28630557000.0,28630557000.0
1991-06-15 12:00:00,175379900.0,35587380000.0,123338936.0,47567250000.0,,39145910000.0,11589847000.0,12381298000.0,18048547000.0,18048547000.0
